Semiotic Class,Input Token,Output Token,VT
PLAIN,years,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
DATE,1573,fifteen seventy three,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,-,to,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
DATE,1595,fifteen ninety five,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,they,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,rebuilt,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,the,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,old,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,castle,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PUNCT,",",sil,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,just,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,like,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,many,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,other,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,castles,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,throughout,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,the,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PLAIN,island,<self>,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
PUNCT,.,sil,"Thus, during the years fifteen seventythree to fifteen ninetyfive they rebuilt the old castle, just like many other castles throughout the island."
<eos>,<eos>,,
PLAIN,Henry,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,moved,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,in,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,with,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,Young,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,at,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,Carrigoona,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,Cottage,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,in,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
DATE,1929,nineteen twenty nine,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PUNCT,",",sil,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,building,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,a,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,studio,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PLAIN,there,<self>,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
PUNCT,.,sil,"Henry moved in with Young at Carrigoona Cottage in nineteen twentynine, building a studio there."
<eos>,<eos>,,
PLAIN,The,<self>,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PLAIN,Standard,<self>,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PLAIN,Catalog,<self>,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PLAIN,of,<self>,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PLAIN,American,<self>,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PLAIN,Cars,<self>,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
DATE,1946,nineteen forty six,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PLAIN,-,to,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
DATE,1975,nineteen seventy five,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
PUNCT,.,sil,The Standard Catalog of American Cars nineteen fortysix to nineteen seventyfive
<eos>,<eos>,,
DATE,30-Jan-87,january thirtieth nineteen eighty seven,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PUNCT,:,sil,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,Jack,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,O'Connor,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,was,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,signed,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,as,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,a,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,free,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,agent,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,by,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,the,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PLAIN,Orioles,<self>,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
PUNCT,.,sil,"January thirtieth, Jack O'Connor was signed as a free agent by the Orioles."
<eos>,<eos>,,
PLAIN,Retrieved,<self>,Retrieved March ninth
DATE,9-Mar-09,march ninth two thousand nine,Retrieved March ninth
PUNCT,.,sil,Retrieved March ninth
<eos>,<eos>,,
PLAIN,Retrieved,<self>,Retrieved September twentyeighth
DATE,28-Sep-14,september twenty eighth twenty fourteen,Retrieved September twentyeighth
PUNCT,.,sil,Retrieved September twentyeighth
<eos>,<eos>,,
